order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd
1,"2012-04-06 22:02:43",57,57,49.99
2,"2012-04-13 11:39:43",74,74,49.99
3,"2012-04-15 17:33:48",71,71,49.99
4,"2012-04-18 06:30:37",118,118,49.99
5,"2012-04-23 07:23:49",116,116,49.99
6,"2012-05-04 22:29:07",147,147,49.99
7,"2012-05-12 13:11:14",186,186,49.99
8,"2012-05-16 23:36:01",191,191,49.99
9,"2012-05-25 02:30:09",179,179,49.99
10,"2012-05-31 03:50:44",199,199,49.99
11,"2012-06-07 00:52:14",271,271,49.99
12,"2012-06-11 06:24:47",290,290,49.99
13,"2012-06-21 05:43:12",335,335,49.99
14,"2012-06-29 05:24:22",382,382,49.99
15,"2012-06-30 02:20:01",357,357,49.99
16,"2012-07-06 00:54:53",409,409,49.99
17,"2012-07-07 18:06:44",368,368,49.99
18,"2012-07-08 06:24:28",391,391,49.99
19,"2012-07-08 13:29:09",424,424,49.99
20,"2012-07-11 01:01:05",393,393,49.99
21,"2012-07-12 08:46:10",442,442,49.99
22,"2012-07-19 17:27:16",472,472,49.99
23,"2012-07-21 00:21:53",470,470,49.99
24,"2012-07-21 20:15:01",469,469,49.99
25,"2012-07-22 23:23:11",471,471,49.99
26,"2012-07-28 04:33:58",468,468,49.99
27,"2012-07-29 18:11:18",467,467,49.99
28,"2012-07-31 12:13:50",500,500,49.99
29,"2012-08-02 00:20:52",501,501,49.99
30,"2012-08-07 09:46:41",568,568,49.99
31,"2012-08-09 04:15:11",545,545,49.99
32,"2012-08-10 03:44:14",558,558,49.99
33,"2012-08-12 12:09:11",577,577,49.99
34,"2012-08-13 05:56:58",648,648,49.99
35,"2012-08-15 13:37:26",669,669,49.99
36,"2012-08-16 21:28:58",587,587,49.99
37,"2012-08-17 11:12:29",581,581,49.99
38,"2012-08-17 11:13:39",584,584,49.99
39,"2012-08-18 19:45:40",638,638,49.99
40,"2012-08-20 18:49:51",676,676,49.99
41,"2012-08-23 22:46:35",717,717,49.99
42,"2012-08-25 01:45:48",661,661,49.99
43,"2012-08-27 14:51:11",694,694,49.99
44,"2012-08-28 00:56:16",668,668,49.99
45,"2012-08-29 10:46:18",739,739,49.99
46,"2012-08-30 00:41:58",718,718,49.99
47,"2012-09-01 21:06:40",780,780,49.99
48,"2012-09-04 07:38:59",786,786,49.99
49,"2012-09-08 20:22:41",760,760,49.99
50,"2012-09-12 23:01:11",844,844,49.99
51,"2012-09-13 17:39:10",823,823,49.99
52,"2012-09-14 18:15:19",883,883,49.99
53,"2012-09-14 19:39:54",818,818,49.99
54,"2012-09-15 08:26:14",900,900,49.99
55,"2012-09-15 19:30:25",838,838,49.99
56,"2012-09-16 05:48:27",807,807,49.99
57,"2012-09-18 18:37:59",910,910,49.99
58,"2012-09-20 06:27:16",849,849,49.99
59,"2012-09-23 04:20:53",988,988,49.99
60,"2012-09-24 22:57:05",934,934,49.99
61,"2012-09-25 01:43:26",993,993,49.99
62,"2012-09-25 07:19:53",950,950,49.99
63,"2012-09-25 18:44:53",969,969,49.99
64,"2012-09-27 11:37:36",953,953,49.99
65,"2012-09-27 14:56:24",905,905,49.99
66,"2012-09-30 06:14:05",941,941,49.99
67,"2012-09-30 20:59:56",939,939,49.99
68,"2012-10-03 05:44:21",1006,1006,49.99
69,"2012-10-05 21:36:14",1107,1107,49.99
70,"2012-10-06 04:52:42",1069,1069,49.99
71,"2012-10-06 10:34:13",984,984,49.99
72,"2012-10-06 18:24:10",1021,1021,49.99
73,"2012-10-07 11:55:32",1129,1129,49.99
74,"2012-10-08 02:21:25",1103,1103,49.99
75,"2012-10-09 02:13:52",1036,1036,49.99
76,"2012-10-10 20:53:40",1063,1063,49.99
77,"2012-10-10 23:45:44",1078,1078,49.99
78,"2012-10-11 01:48:51",1056,1056,49.99
